Datum;Grupp;Serie;Värde
2022-12-01;Andra riksbanksräntor;Referensränta;0,50
2022-12-02;Andra riksbanksräntor;Referensränta;0,50
2022-12-05;Andra riksbanksräntor;Referensränta;0,50
2022-12-06;Andra riksbanksräntor;Referensränta;0,50
2022-12-07;Andra riksbanksräntor;Referensränta;0,50
2022-12-08;Andra riksbanksräntor;Referensränta;0,50
2022-12-09;Andra riksbanksräntor;Referensränta;0,50
2022-12-12;Andra riksbanksräntor;Referensränta;0,50
2022-12-13;Andra riksbanksräntor;Referensränta;0,50
2022-12-14;Andra riksbanksräntor;Referensränta;0,50
2022-12-15;Andra riksbanksräntor;Referensränta;0,50
2022-12-16;Andra riksbanksräntor;Referensränta;0,50
2022-12-19;Andra riksbanksräntor;Referensränta;0,50
2022-12-20;Andra riksbanksräntor;Referensränta;0,50
2022-12-21;Andra riksbanksräntor;Referensränta;0,50
2022-12-22;Andra riksbanksräntor;Referensränta;0,50
2022-12-23;Andra riksbanksräntor;Referensränta;0,50
2022-12-27;Andra riksbanksräntor;Referensränta;0,50
2022-12-28;Andra riksbanksräntor;Referensränta;0,50
2022-12-29;Andra riksbanksräntor;Referensränta;0,50
2022-12-30;Andra riksbanksräntor;Referensränta;0,50
2023-01-02;Andra riksbanksräntor;Referensränta;2,50
2023-01-03;Andra riksbanksräntor;Referensränta;2,50
2023-01-04;Andra riksbanksräntor;Referensränta;2,50
2023-01-05;Andra riksbanksräntor;Referensränta;2,50
2023-01-09;Andra riksbanksräntor;Referensränta;2,50
2023-01-10;Andra riksbanksräntor;Referensränta;2,50
2023-01-11;Andra riksbanksräntor;Referensränta;2,50
2023-01-12;Andra riksbanksräntor;Referensränta;2,50
2023-01-13;Andra riksbanksräntor;Referensränta;2,50
2023-01-16;Andra riksbanksräntor;Referensränta;2,50
2023-01-17;Andra riksbanksräntor;Referensränta;2,50
2023-01-18;Andra riksbanksräntor;Referensränta;2,50
2023-01-19;Andra riksbanksräntor;Referensränta;2,50
2023-01-20;Andra riksbanksräntor;Referensränta;2,50
2023-01-23;Andra riksbanksräntor;Referensränta;2,50
2023-01-24;Andra riksbanksräntor;Referensränta;2,50
2023-01-25;Andra riksbanksräntor;Referensränta;2,50
2023-01-26;Andra riksbanksräntor;Referensränta;2,50
2023-01-27;Andra riksbanksräntor;Referensränta;2,50
2023-01-30;Andra riksbanksräntor;Referensränta;2,50
2023-01-31;Andra riksbanksräntor;Referensränta;2,50
2023-02-01;Andra riksbanksräntor;Referensränta;2,50
2023-02-02;Andra riksbanksräntor;Referensränta;2,50
2023-02-03;Andra riksbanksräntor;Referensränta;2,50
2023-02-06;Andra riksbanksräntor;Referensränta;2,50
2023-02-07;Andra riksbanksräntor;Referensränta;2,50
2023-02-08;Andra riksbanksräntor;Referensränta;2,50
2023-02-09;Andra riksbanksräntor;Referensränta;2,50
2023-02-10;Andra riksbanksräntor;Referensränta;2,50
2023-02-13;Andra riksbanksräntor;Referensränta;2,50
2023-02-14;Andra riksbanksräntor;Referensränta;2,50
2023-02-15;Andra riksbanksräntor;Referensränta;2,50
2023-02-16;Andra riksbanksräntor;Referensränta;2,50
2023-02-17;Andra riksbanksräntor;Referensränta;2,50
2023-02-20;Andra riksbanksräntor;Referensränta;2,50
2023-02-21;Andra riksbanksräntor;Referensränta;2,50
2023-02-22;Andra riksbanksräntor;Referensränta;2,50
2023-02-23;Andra riksbanksräntor;Referensränta;2,50
2023-02-24;Andra riksbanksräntor;Referensränta;2,50
2023-02-27;Andra riksbanksräntor;Referensränta;2,50
2023-02-28;Andra riksbanksräntor;Referensränta;2,50
2023-03-01;Andra riksbanksräntor;Referensränta;2,50
2023-03-02;Andra riksbanksräntor;Referensränta;2,50
2023-03-03;Andra riksbanksräntor;Referensränta;2,50
2023-03-06;Andra riksbanksräntor;Referensränta;2,50
2023-03-07;Andra riksbanksräntor;Referensränta;2,50
2023-03-08;Andra riksbanksräntor;Referensränta;2,50
2023-03-09;Andra riksbanksräntor;Referensränta;2,50
2023-03-10;Andra riksbanksräntor;Referensränta;2,50
2023-03-13;Andra riksbanksräntor;Referensränta;2,50
2023-03-14;Andra riksbanksräntor;Referensränta;2,50
2023-03-15;Andra riksbanksräntor;Referensränta;2,50
2023-03-16;Andra riksbanksräntor;Referensränta;2,50
2023-03-17;Andra riksbanksräntor;Referensränta;2,50
2023-03-20;Andra riksbanksräntor;Referensränta;2,50
2023-03-21;Andra riksbanksräntor;Referensränta;2,50
2023-03-22;Andra riksbanksräntor;Referensränta;2,50
2023-03-23;Andra riksbanksräntor;Referensränta;2,50
2023-03-24;Andra riksbanksräntor;Referensränta;2,50
2023-03-27;Andra riksbanksräntor;Referensränta;2,50
2023-03-28;Andra riksbanksräntor;Referensränta;2,50
2023-03-29;Andra riksbanksräntor;Referensränta;2,50
2023-03-30;Andra riksbanksräntor;Referensränta;2,50
2023-03-31;Andra riksbanksräntor;Referensränta;2,50
2023-04-03;Andra riksbanksräntor;Referensränta;2,50
2023-04-04;Andra riksbanksräntor;Referensränta;2,50
2023-04-05;Andra riksbanksräntor;Referensränta;2,50
2023-04-06;Andra riksbanksräntor;Referensränta;2,50
